7.25042567e+0, 2.90888431e+0
7.32201878e+0, 2.27682130e+0
7.38871559e+0, 1.82512605e+0
7.46954471e+0, 1.40769804e+0
7.53970688e+0, 1.15453288e+0
7.59207397e+0, 1.00405245e+0
7.69177799e+0, 8.07105888e-1
7.75682798e+0, 6.60639484e-1
7.85683360e+0, 5.43526888e-1
7.95000016e+0, 4.43482939e-1
8.03826266e+0, 3.65507026e-1
8.11669632e+0, 2.99767998e-1
8.18915956e+0, 2.50272748e-1
8.25889317e+0, 2.18506312e-1
8.36685432e+0, 1.91057930e-1
8.47482832e+0, 1.69661846e-1
8.58280231e+0, 1.50661855e-1
8.69077696e+0, 1.33894897e-1
8.78501125e+0, 1.21067853e-1
8.88386679e+0, 1.14369097e-1
8.98141965e+0, 1.08994031e-1
9.10321271e+0, 1.04593121e-1
9.21127420e+0, 1.03203875e-1
9.31934364e+0, 1.02814969e-1
9.41758595e+0, 1.02136120e-1
9.54534153e+0, 1.06335095e-1
9.65347268e+0, 1.14108426e-1
9.76161662e+0, 1.24352372e-1
9.86980999e+0, 1.43829904e-1
9.97800466e+0, 1.66620141e-1
1.00813045e+1, 1.97149063e-1
1.01796909e+1, 2.32978253e-1
1.02830068e+1, 2.81044091e-1
1.03814207e+1, 3.43283960e-1
1.04798330e+1, 4.18538591e-1
1.05782490e+1, 5.12570032e-1
1.06807421e+1, 6.15289089e-1
